libelle_drh;structure_iss;uid_dhis2;district;type;statut
CS BANGOUYA;PS Bangouyah;wFSkRIxOqxL;;;OK
CSR Kansagui;CSR Kansangui;T48ex5I35R4;;;OK
CSR Kollagui;CSR Kollangui;LBa3a6dtU5v;;;OK
CS NONGOA;PS Nona;d9995CYBSRd;;;OK
CSR KATOUGOUMA;CSR Katougouma;picUXLHZkFK;;;OK
CS SOKOURALA;CSR Sokouralla;nsklYTvJGRB;;;OK
CSR DJIMBALA;CSR Djimballa;wOaEtXnNzWd;;;OK
CS DIARRAGUERELA;CSR Diaraguerela;l9JBmP0NvOb;;;OK
PS Gbikili;PS Gbinkily;jPmyAobp00S;;;OK
CS GBAKEDOU;CSR Gbackedou;fSXl8rx3yC3;;;OK
CS TIEWA-TANGODOUCCS;CSR Teiwa tangoudou;gcFTqInMiSZ;;;OK
CSR MORIBAYH;PS moribayah;LwDlSbLsrcI;;;OK
CSR TINTIOULEN;CSR Tinti-oulen;jilkezLMuVj;;;OK
CS Gbessiaport2;CSU Gbessia Port 2;MBMvxGsMDtH;;;OK
CSU KANAKANKOURA;CSU Kankankoura;ralhA4s6g7C;;;OK
CS KAWESSIE;CSR Kawessi;TwklraoQhyd;;;OK
CSR GAGNAKALY;CSR Gagniakaly;YFzJ1ZyztRF;;;OK
CS/Wendou Mbourou;CSR Wendou M'bour;MzrXV1naU6j;;;OK
PS Gomboyah;PS Gomboyah;F86ezB8YWMs;;;OK
CSR KOLLET/TELEMELE;CSR Kollet (Telimele);txsFX8gE6sa;;;OK
CSR FODEKARIAH;CSR Fodekaria;vvKYVA3N66L;;;OK
CSU SEKEFARA;CSU Senkefara;RFqkrJagRrf;;;OK
PS Banbasabèrè;PS Bamba sabere;q1okCkZEhGQ;;;OK
CSR MISSIRA/TELEMELE;CSR Missira (Telimele);OVD3Lxd0LWZ;;;OK
CENTRE DE SANTE TOMBA-KANSA;PS Tombakassa;dAH6AQg6LMp;;;OK
CSR Sibribaro;CSR Sibiribaro;bs5o634E0On;;;OK
Madina worra;CSR Madina Wora;k1QbbiPXdyb;;;OK
CS Yembering;CSA de Yembereng;Yd6QBVflVjZ;;;OK
CSU KABAD;CSU Kabada;qgK2ocJKbyN;;;OK
CS Gbessia por2;CSU Gbessia Port 2;MBMvxGsMDtH;;;OK
CS Madina worra;CSR Madina Wora;k1QbbiPXdyb;;;OK
CSU BKABADA;CSU Kabada;qgK2ocJKbyN;;;OK
Centre de santé de Niandankoura;PS Niandankoura;DAsVAUXMRPE;;;OK
CS KIRIA;PS Kiriya;zFhdsKoDQ45;;;OK
PS MADINA-DJAN;PS Madina fanta;DBTkhBXJNGs;;;OK
CSR Kineran;CSR Kiniéran;X5VZg3GlTXA;;;OK
CSR DJELIBA KORO;CSR Djelibakoro;sFPmGPvSon3;;;OK
PS DIASSODOU;CSR Diassodou;NdwyFj2ZzPe;;;OK
CSR KONINDOU;CSR Konendou;kvoMvl9Cfmg;;;OK
Ps kondonbofou;PS Kondombofo;mb0lGVfzllM;;;OK
Ps kambanyah;PS Kambanya;SDkQrsRnw09;;;OK
PS Camara boungny;PS Camara Bounyi;NrlT0XqSz4V;;;OK
Colia;CSR Kolia;YjXr3hgQ7zM;;;OK
PS Boundouholandé;PS Boundhou hollandé;KnKfkJKRcaR;;;OK
Centre de santé Koumandjanbou;CSR Koumandjanbougou;kYtkTr75tPz;;;OK
CSR SOKOURALA;CSR Sokouralla;nsklYTvJGRB;;;OK
PS Djianssoumana;PS Djansoumana centre;LL3D6hshQ9x;;;OK
csDOUPROU;CSR Douprou;JPZThVJtzl1;;;OK
